user_id,rank,artist_name,playcount,mbid
6,49,Lily Allen,79,6e0c7c0e-cba5-4c2c-a652-38f71ef5785d
6,50,Oliver Dragojevic,77,
7,1,Selectrodynamic,4994,
7,2,Roosevelt,1745,84825fb6-c98c-4b43-a184-c7f70619f355
7,3,Tame Impala,1484,63aa26c3-d59b-4da4-84ac-716b54f1ef4d
7,4,MGMT,1051,c485632c-b784-4ee9-8ea1-c5fb365681fc
7,5,Arcade Fire,1037,52074ba6-e495-4ef3-9bb4-0703888a9f68
7,6,Interpol,982,
7,7,Bilderbuch,890,456104db-b21e-46a6-a094-1dd396f4c6a6
7,8,Fleetwood Mac,846,bd13909f-1c29-4c27-a874-d4aaf27c5b1a
7,9,The Horrors,836,
7,10,Depeche Mode,792,8538e728-ca0b-4321-b7e5-cff6565dd4c0
7,11,The Cure,771,69ee3720-a7cb-4402-b48d-a02c366f2bcf
7,12,Broncho,743,8e4a41a5-6ec6-4042-b064-acd1cb51cf1b
7,13,Arctic Monkeys,728,ada7a83c-e3e1-40f1-93f9-3e73dbc9298a
7,14,Ladyhawke,710,2e547c75-36c1-49d0-984e-b14498c936f0
7,15,Kings of Leon,703,6ffb8ea9-2370-44d8-b678-e9237bbd347b
7,16,Cut Copy,674,caaba574-dfbc-4681-8e56-19b5150897d2
7,17,La Roux,643,88d1360a-bc2d-47df-90d1-d2de285560aa
7,18,The War on Drugs,628,87b9b3b8-ab93-426c-a200-4012d667a626
7,19,The Strokes,624,f181961b-20f7-459e-89de-920ef03c7ed0
7,20,Black Rebel Motorcycle Club,597,32b90c92-9978-4a07-90eb-caa4b22f4907
7,21,Pulp,588,76b2e842-5e85-4c97-ab62-d5bc315595b5
7,22,TKKG Retro-Archiv,563,
7,23,Empire of the Sun,551,ac7e838c-3d95-47c2-92a9-81767ad7c217
7,24,Digitalism,537,7b52603c-a84c-4a76-8dc8-899bb4dd9fa7
7,25,Wolf Parade,532,b7ddce8b-9e5c-46bd-9d33-41b134ce1a7f
7,26,The Kills,528,2c629b8c-d751-4131-b785-5690bb5e0fd7
7,27,The Rakes,527,
7,28,Pet Shop Boys,488,be540c02-7898-4b79-9acc-c8122c7d9e83
7,29,The Smiths,488,40f5d9e4-2de7-4f2d-ad41-e31a9a9fea27
7,30,Wanda,457,
7,31,Late of the Pier,432,e3e4e534-30cd-4979-bcc5-a75c49802f57
7,32,White Lies,412,5bdb38bd-5c5b-4d0f-8901-8bbe1d7062d8
7,33,Small Black,408,94c9f694-21b6-4b24-9722-4ea18f75f8e1
7,34,The Last Shadow Puppets,408,8a3e1c4f-59a8-457a-826c-fe961419a8ae
7,35,Tears for Fears,404,7c7f9c94-dee8-4903-892b-6cf44652e2de
7,36,The Kooks,390,f82f3a3e-29c2-42ca-b589-bc5dc210fa9e
7,37,The National,382,664c3e0e-42d8-48c1-b209-1efca19c0325
7,38,Wild Nothing,382,a181595e-5b84-4439-a5f4-f548ddfb64df
7,39,Bloc Party,379,8c538f11-c141-4588-8ecb-931083524186
7,40,Future Islands,371,74963434-dcb6-4b14-98cc-99873b06db66
7,41,New Order,365,f1106b17-dcbb-45f6-b938-199ccfab50cc
7,42,The Killers,358,95e1ead9-4d31-4808-a7ac-32c3614c116b
7,43,Yeah Yeah Yeahs,357,584c04d2-4acc-491b-8a0a-e63133f4bfc4
7,44,Big Black Delta,354,eab003ca-21bc-4cd4-8e46-9d4c4e2721ac
7,45,The Cooper Temple Clause,345,6af63208-4a2b-494f-a560-622a0c10d647
7,46,Foals,334,6a65d878-fcd0-42cf-aff9-ca1d636a8bcc
7,47,Marina and the Diamonds,334,
7,48,Phoenix,329,
7,49,Betterov,325,d6fce139-7e18-4cd7-a56f-ac394fba5bf4
7,50,The Fratellis,325,f4ad883e-9a92-45ed-a540-a49c2d1c36dd
8,1,Bones,2233,
8,2,Electric Wizard,1252,da7d57e6-0619-4f0f-8d15-d0b4195c3f55
8,3,Velvet Cacoon,1156,6ce530e8-6ccf-4e30-9f3a-cf259d79d78e
8,4,Nirvana,1079,
8,5,Uncle Acid and the Deadbeats,930,
8,6,Clair Cassis,921,d304a5f8-6ac7-4a31-82bb-43451055f907
8,7,Burzum,762,49cd96a6-42c3-44f6-ba2a-cd9301046b96
8,8,Sybreed,747,60e2aa69-a4b7-419a-bbfc-f253fb21be9c
8,9,Anaal Nathrakh,725,9bf82496-9d7b-43ac-b3ee-076c90ada9d7
8,10,Chelsea Wolfe,604,60e8e938-365e-4429-a141-4c79eb49588d
8,11,Darkthrone,540,af8fd97c-db72-4e30-b2aa-30ebd0c4f1a0
8,12,$uicideboy$,474,ef326b3d-61f0-4379-aca0-21237d696d63
8,13,Xasthur,459,39e92581-e59d-4070-b157-abadd9969f3f
8,14,Tool,450,66fc5bf8-daa4-4241-b378-9bc9077939d2
8,15,Pensées Nocturnes,428,f9477c95-82c2-47e7-a469-7c326618f41e
8,16,Malefice,391,a5803230-a66d-4067-a59d-d75d03d868b1
8,17,Meshuggah,391,cf8b3b8c-118e-4136-8d1d-c37091173413
8,18,Dragonauta,384,7d92cd2d-9623-4467-b92b-91403e35627b
8,19,Impaled Nazarene,368,2228019e-67b4-4d2e-a101-f2d5dcaf892f
8,20,Amesoeurs,353,1b396d40-a35a-4558-b292-0b2685f7ea8f
8,21,Slo Burn,350,08dbc17c-a723-4d04-a7b3-8739c1895dd9
8,22,Batmobile,345,b7be7cdc-d77d-48a2-8d5f-f273e6545dd7
8,23,Craft,342,18fdb1aa-b131-4e24-ad62-f7cf661c7073
